Town,Reference Number,Exempt Code,Exempt Code Description,Address,Owner or Facility,Acres,Volume and Page,Land Assessment,Building Assessment,Total Assessment,OPM Assessment,Location
Essex,00063101,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 DENNISON RD,CONN STATE OF,1.21,71/164,"$5,100",$0,"$5,100","$5,100",POINT (-72.409360643 41.358865632)
Haddam,B0059000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 GLADWIN RD,CONN STATE OF MUNICIPAL DIV,92,0/0,"$25,120",$0,"$25,120","$25,120",POINT (-72.592536053 41.43585676)
Harwinton,565,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SOUTH RD,CONNECTICUT STATE OF,117,93/293,"$19,660",$0,"$19,660","$19,660",POINT (-73.05344813 41.738363445)
Hamden,3329057000000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",03908 WHITNEY AVE,CONNECTICUT HISTORICAL COMMISSION,0.84,1613/320,"$31,220","$127,400","$158,620","$158,620",POINT (-72.908860004 41.435582997)
Hartford,199265200,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00306 SIGOURNEY ST,STATE OF CONN DEPT OF TRANS,0.002,6496/345,$630,$0,$630,$630,POINT (-72.691822021 41.775920997)
East Hartford,00011706,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00234 PROSPECT ST,STATE OF CONNECTICUT,0.19,1981/289,"$27,080",$0,"$27,080","$27,080",POINT (-72.646598613 41.775037711)
Chester,00032902,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 DEEP HOLLOW RD,CONNECTICUT STATE OF,574.67,21/371,"$201,130",$0,"$201,130","$201,130",POINT (-72.466709523 41.410173218)
Berlin,1102310,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 FARMINGTON AVE,CONNECTICUT STATE OF,2.1,128/62,"$222,700","$80,800","$303,500","$303,500",POINT (-72.767789974 41.635065503)
Hamden,3025011000000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",01112 HILL ST,STATE OF CONNECTICUT,1.05,4726/202,"$1,960",$0,"$1,960","$1,960",POINT (-72.938812188 41.393199497)
Groton,169813133263 E,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",TOWER AVE,CONNECTICUT AIRPORT AUTHORITY,6.07,1117/669,"$424,900",$0,"$424,900","$424,900",POINT (-72.044579432 41.334090383)
Danbury,J13076,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00000 ROBERTS AV,STATE OF CONNECTICUT,0.03,0/0,$210,$0,$210,$210,POINT (-73.442847146 41.401071631)
Canaan,14105059,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 LIME ROCK STATION,CONNECTICUT STATE OF,5.34,26/511,"$84,700",$0,"$84,700","$84,700",POINT (-73.35472405 41.927032068)
Bethel,R06972,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 OLD DODGINGTOWN ROAD,CONNECTICUT STATE OF,9.81,958/769,"$89,320",$0,"$89,320","$89,320",POINT (-73.35571624 41.364503488)
Farmington,15308664,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",08664 PLAINVILLE AV,CONNECTICUT STATE OF DOT,34.98,247/276,"$2,142,560",$0,"$2,142,560","$2,142,560",POINT (-72.880035385 41.708547848)
Chaplin,C001139,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 MOREY RD,CONNECTICUT STATE OF,90,0/0,"$216,700",$0,"$216,700","$216,700",POINT (-72.097144734 41.821861891)
Columbia,00194600,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00001 PARKER BRIDGE RD,CONN STATE OF,0.59,120/380,"$43,260",$0,"$43,260","$43,260",POINT (-72.330292098 41.736289341)
Groton,261907571997 E,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",550 RIVER RD,CONNECTICUT STATE OF,0.39,234/429,"$54,600",$0,"$54,600","$54,600",POINT (-71.966324182 41.373021909)
Hartford,161493044,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00005 OLIVE ST,STATE OF CONN DEPT OF AGRICULTURE,0.05,1134/247,"$13,300",$0,"$13,300","$13,300",POINT (-72.702818746 41.750746804)
Fairfield,17194,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",04000 BLACK ROCK TURNPIKE,STATE OF CONNECTICUT,6.3,385/598,"$294,280",$0,"$294,280","$294,280",POINT (-73.271133355 41.203454181)
Hartland,15000001,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 CENTER HILL RD,STATE OF CONNECTICUT-DEEP,11.28,93/874,"$48,930",$0,"$48,930","$48,930",POINT (-72.977867571 41.960750567)
Eastford,00107400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00066 KENNERSON RESV RD,CONNECTICUT STATE OF,0.08,42/188,"$3,200",$0,"$3,200","$3,200",POINT (-72.13049259 41.856864719)
Kent,00085300,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00000 KENT CORNWALL RD,CONNECTICUT STATE OF,6.24,66/827,"$25,700",$0,"$25,700","$25,700",POINT (-73.440122091 41.756142151)
Enfield,002400010250,OCBX,"Correction (State prison, jail, reformatory, any others)",00355 SHAKER RD,OSBORN STATE PRISON FARM,283.3,73/304,"$8,049,700","$26,514,700","$34,564,400","$34,564,400",POINT (-72.519836013 42.019917989)
Berlin,1035450,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00468 NORTON LN,STATE OF CONNECTICUT DOT,11.64,710/109,"$247,200","$21,400","$268,600","$268,600",POINT (-72.775823024 41.582196984)
Hartland,98100905,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 CENTER HILL RD,STATE OF CONNECTICUT,148,0/0,"$207,200",$0,"$207,200","$207,200",POINT (-72.977867571 41.960750567)
Burlington,00066450,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 CANTON RD,CONNECTICUT STATE OF,2.5,48/372,"$10,710",$0,"$10,710","$10,710",POINT (-72.925370016 41.789279882)
Easton,00297850,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 BLACK ROCK ROAD,STATE OF CONNECTICUT,23.43,383/13,"$6,370",$0,"$6,370","$6,370",POINT (-73.320495412 41.246493324)
Hamden,3431002000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00450 TUTTLE AVE REAR,CONNECTICUT STATE OF,157.29,641/387,"$189,840",$0,"$189,840","$189,840",POINT (-72.893954287 41.436910344)
Berlin,1461450,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 HERITAGE DR,STATE OF CONNECTICUT DEPARTMENT OF TRANS,0.03,766/270,"$1,800",$0,"$1,800","$1,800",POINT (-72.808839424 41.582781221)
Clinton,C0647800,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 NOD RD,CONNECTICUT STATE OF,2.6,50/456,"$24,600",$0,"$24,600","$24,600",POINT (-72.548303759 41.2877389)
Branford,11156,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 PLEASANT POINT RD,CONNECTICUT STATE OF,17,265/525,"$32,300",$0,"$32,300","$32,300",POINT (-72.764835192 41.273976601)
Glastonbury,04200006A,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 BIRCH MOUNTAIN RD,CONNECTICUT STATE OF,50,176/69,"$13,700",$0,"$13,700","$13,700",POINT (-72.46460837 41.721883728)
Chester,00032916,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 CEDAR SWAMP RD,CONNECTICUT STATE OF,219.27,1/1,"$76,740",$0,"$76,740","$76,740",POINT (-72.489403933 41.388202629)
Durham,C0052000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 FOOT HILLS RD,CONNECTICUT STATE OF,13.3,83/532,"$7,910",$0,"$7,910","$7,910",POINT (-72.63404769 41.490431517)
Griswold,M0253100,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",01271R HOPEVILLE RD,CONNECTICUT STATE OF,6.82,217/383,"$5,950",$0,"$5,950","$5,950",POINT (-71.903135666 41.59413297)
Hamden,2322103000000,OEBX,"Health Care (Mental illness, tuberculosis and chronic diseases, alcoholic clinic, veteran's home and hospital, emotionally disturbed children, any others)",00801 WOODIN ST,CONNECTICUT STATE OF,1.27,1225/283,"$43,750","$188,860","$232,610","$232,610",POINT (-72.959962037 41.352449018)
Danbury,G19018,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 OLD SUGAR HOLLOW RD,STATE OF CONNECTICUT,0.65,982/1017,"$4,550",$0,"$4,550","$4,550",POINT (-73.474445204 41.366154256)
Hartford,268350008,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00950 MAIN ST,STATE OF CONN,0.65,4255/330,"$1,134,630","$76,507,059","$77,641,689","$77,641,689",POINT (-72.67258396 41.76838399)
Cornwall,98101138,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 WARREN HILL RD,CONN STATE OF,176.5,90/837,"$9,200",$0,"$9,200","$9,200",POINT (-73.366643245 41.793079089)
Haddam,R0524400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00017 RANGER RD,CONN STATE OF MUNICIPAL DIV,"1,157.55",0/0,"$2,552,660","$268,540","$2,821,200","$2,821,200",POINT (-72.540458009 41.476967009)
Columbia,00244700,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 RT 66 EAST,CONN STATE OF,0.06,44/361,$210,$0,$210,$210,POINT (-72.266534287 41.717091436)
Clinton,C0647200,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 LIBERTY PL,CONNECTICUT STATE OF,0.14,0/0,"$3,900",$0,"$3,900","$3,900",POINT (-72.522414209 41.289932394)
Clinton,C0646800,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 SHORE RD,CONNECTICUT STATE OF,2.13,95/387,"$6,700",$0,"$6,700","$6,700",POINT (-72.502934106 41.264727536)
Goshen,00002600,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 HALL MEADOW ROAD,CONNECTICUT STATE OF,32,0/0,"$12,900",$0,"$12,900","$12,900",POINT (-73.175866434 41.900441304)
Andover,1015,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 MERRITT VALLEY RD,CONNECTICUT STATE OF,0.35,71/253,"$5,250",$0,"$5,250","$5,250",POINT (-72.358984153 41.731342483)
Danbury,E16005,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 KENOSIA AV,STATE OF CONNECTICUT,0.43,319/468,"$91,210",$0,"$91,210","$91,210",POINT (-73.495460743 41.379561163)
Hartford,224431004,OFBX,"Public Safety (National Guard, fire towers and radio stations, state police training academy, state motor vehicle buildings, state police barracks, state police",00360 BROAD ST,STATE OF CONN ARMORY,8.89,1109/290,"$55,840,260",$0,"$55,840,260","$55,840,260",POINT (-72.685853016 41.764879013)
Hamden,3235024000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",01040 MT CARMEL AVE REAR,CONNECTICUT STATE OF,3,641/384,"$43,540",$0,"$43,540","$43,540",POINT (-72.868818982 41.427219995)
East Hartford,00017140,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00615 SILVER LN REAR,STATE OF CONNECTICUT,7.71,3139/264,"$178,140",$0,"$178,140","$178,140",POINT (-72.617545031 41.760524992)
Easton,00030401,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 SOUTH PARK AVENUE,STATE OF CONNECTICUT,5.47,382/279,"$110,320",$0,"$110,320","$110,320",POINT (-73.25705571 41.243467145)
Coventry,30107,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",BABCOCK HILL RD,CONNECTICUT STATE OF,26.08,0131 0320,"$76,600",$0,"$76,600","$76,600",POINT (-72.271100778 41.729936655)
Cheshire,00069300,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",01625 HIGHLAND AVE,STATE OF CONNECTICUT,2.4,1545/331,"$232,810","$503,340","$736,150","$736,150",POINT (-72.892288981 41.546633994)
East Haddam,00355200,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 PAULA RD,CONN STATE OF,0.05,81/225,"$3,250",$0,"$3,250","$3,250",POINT (-72.411824964 41.504470004)
Easton,00297855,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 BEERS ROAD,STATE OF CONNECTICUT,2.11,382/278,"$170,100",$0,"$170,100","$170,100",POINT (-73.279416882 41.23166828)
Easton,00297921,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 SILVER HILL ROAD,STATE OF CONNECTICUT,5.94,383/137,"$171,150",$0,"$171,150","$171,150",POINT (-73.31144593 41.273435169)
Chaplin,C001137,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 WILLIMANTIC RD,CONNECTICUT STATE OF,0.35,0/0,"$44,500",$0,"$44,500","$44,500",POINT (-72.14184794 41.761607976)
Hartford,269359020,OABX,"Administrative (office buildings, court houses, any others)",00001 AMERICAN ROW,STATE OF CONNECTICUT OFFICE OF POLICY,0.01,6234/11,"$12,880",$0,"$12,880","$12,880",POINT (-72.670354961 41.765052016)
Danbury,G22001,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SUGAR HOLLOW RD,STATE OF CONNECTICUT,5,229/263,"$1,201,760","$52,990","$1,254,750","$1,254,750",POINT (-73.469591029 41.3501885)
Branford,20004,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00062 DOMINICAN RD,CONNECTICUT STATE OF+BRANFORD TOWN,10.07,500/615,"$14,100",$0,"$14,100","$14,100",POINT (-72.860293367 41.276031189)
Canton,1010411,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00411 ALBANY TURNPIKE,CONNECTICUT STATE OF,0.62,278/415,"$130,200",$0,"$130,200","$130,200",POINT (-72.927270587 41.834618892)
Clinton,C0645700,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 EAST MAIN ST,CONNECTICUT STATE OF,1.56,93/305,"$4,900",$0,"$4,900","$4,900",POINT (-72.507545662 41.27305284)
Danbury,I13290,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00018 PATRIOT DR,STATE OF CONNECTICUT,37.1,756/629,"$5,260,220",$0,"$5,260,220","$5,260,220",POINT (-73.450095568 41.395376244)
Kent,00026400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 CARTER RD,CONNECTICUT STATE OF,89,0/0,"$15,000",$0,"$15,000","$15,000",POINT (-73.407544264 41.764663787)
Canterbury,00241510,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00219 WAUREGAN RD,CONNECTICUT STATE OF - DEEP,15.69,260/390,"$22,900",$0,"$22,900","$22,900",POINT (-71.931275032 41.736197021)
Chester,00148200,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 CEDAR LAKE RD,CONNECTICUT STATE OF,30,29/57,"$10,500",$0,"$10,500","$10,500",POINT (-72.507842924 41.406211947)
Durham,C0054000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 HARVEY RD,CONNECTICUT STATE OF,13.98,101/269,"$112,630",$0,"$112,630","$112,630",POINT (-72.647600038 41.466310643)
Glastonbury,70400748,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00748 THOMPSON ST,CONNECTICUT STATE OF,23.62,1498/277,"$132,300",$0,"$132,300","$132,300",POINT (-72.516289004 41.68597399)
Bolton,10002116,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",05100 BOSTON TPKE,CONNECTICUT STATE OF,1.75,87/145,"$9,800",$0,"$9,800","$9,800",POINT (-72.46325408 41.784075748)
Groton,260817115823 E,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",NEPTUNE DR,CONNECTICUT STATE OF,0.73,733/533,"$152,110",$0,"$152,110","$152,110",POINT (-72.014838619 41.324951101)
Burlington,00066000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 ARCH ST,CONNECTICUT STATE OF,0.4,50/385,"$43,260",$0,"$43,260","$43,260",POINT (-72.923799138 41.805016322)
Eastford,00022000,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 CHAPLIN RD + GENERAL LYON,CONNECTICUT STATE OF,1,0/0,"$33,900","$7,630","$41,530","$41,530",POINT (-72.09439975 41.855501896)
Groton,169818323233 EA8,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",275 TOWER AVE,CONNECTICUT AIRPORT AUTHORITY,0,1117/669,$0,"$53,900","$53,900","$53,900",POINT (-72.044796009 41.335894005)
Ellington,93000001,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 PORTER RD,CONNECTICUT STATE OF,2.9,380/803,"$6,340",$0,"$6,340","$6,340",POINT (-72.434262597 41.935768719)
Hartford,141588001,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00050 BRINLEY AVE,STATE OF CONN DEPT OF AGRICULTURE,0.18,1202/179,"$9,100",$0,"$9,100","$9,100",POINT (-72.711470494 41.733488941)
Hartford,279813013,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00085 VICTORIA RD,STATE OF CONN,0.29,933/656,"$5,320",$0,"$5,320","$5,320",POINT (-72.672481232 41.728113295)
East Lyme,7585,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",WHISTLETOWN RD,CONNECTICUT STATE OF,2.51,0075 0206,"$137,480",$0,"$137,480","$137,480",POINT (-72.263366891 41.397483802)
East Hartford,00017139,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00593 SILVER LN,STATE OF CONNECTICUT,5.32,3139/242,"$254,590",$0,"$254,590","$254,590",POINT (-72.618030547 41.763202036)
Canaan,14105045,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 RT 7 N,CONNECTICUT STATE OF,16.37,40/129,"$115,800",$0,"$115,800","$115,800",POINT (-73.33104 42.02767)
Farmington,17608861,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",08861 SOUTH RD,CONNECTICUT STATE OF,1.15,175/356,"$76,720",$0,"$76,720","$76,720",POINT (-72.775173708 41.723521282)
Goshen,00217500,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 ALLYN ROAD,CONNECTICUT STATE OF - DEP,7.11,0/0,"$1,940",$0,"$1,940","$1,940",POINT (-73.278237973 41.83414184)
Coventry,30087,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",NATHAN HALE RD,CONNECTICUT STATE OF,20.24,0044 0184,"$73,300",$0,"$73,300","$73,300",POINT (-72.326568086 41.755357504)
East Hampton,R20019,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 COLCHESTER AVE,CONNECTICUT STATE OF,0.4,0/0,"$36,380",$0,"$36,380","$36,380",POINT (-72.468536521 41.5651742)
Bloomfield,R90218,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00061 OLD POQUONOCK RD,CONNECTICUT STATE OF,1,50/537,"$60,480",$0,"$60,480","$60,480",POINT (-72.702531651 41.864401658)
East Haven,C9013000,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00138 SALTONSTALL PKWY,STATE OF CONNECTICUT,0.33,253/347,"$32,550",$0,"$32,550","$32,550",POINT (-72.882922494 41.287022172)
Hampton,00025000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 OLD TOWN POUND RD,CONNECTICUT STATE OF,6.45,81/954,"$38,760",$0,"$38,760","$38,760",POINT (-72.063115825 41.789615902)
Deep River,00204600,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 STEVENSTOWN RD,STATE OF CONNECTICUT,0.09,150/499,$770,$0,$770,$770,POINT (-72.497130783 41.35271321)
Hamden,2321022000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00735 WINTERGREEN AVE REAR,CONNECTICUT STATE OF,1.71,620/792,"$14,350",$0,"$14,350","$14,350",POINT (-72.963708999 41.355847)
Bristol,0272318,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 EAST RD,STATE OF CONNECTICUT,0.2,1556/570,"$7,280",$0,"$7,280","$7,280",POINT (-72.937575986 41.663681736)
Branford,11137,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 PLEASANT POINT RD,CONNECTICUT STATE OF,10.46,265/529,"$16,500",$0,"$16,500","$16,500",POINT (-72.764835192 41.273976601)
Farmington,06359522,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",09522 FARMINGTON AV,CONNECTICUT STATE OF,0.56,1112/602,"$160,510",$0,"$160,510","$160,510",POINT (-72.842477827 41.737468293)
Groton,169818323233 EB10,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",285 TOWER AVE,CONNECTICUT AIRPORT AUTHORITY,0,1117/669,$0,"$76,230","$76,230","$76,230",POINT (-72.041364038 41.336651981)
Beacon Falls,00119000,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 LOPUS RD,CONN STATE OF,10.1,43/472,"$272,200",$0,"$272,200","$272,200",POINT (-73.068501708 41.438523243)
Bethany,00061200,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00228 BEACON RD,CONNECTICUT STATE OF DEP,27,124/63,"$193,600",$0,"$193,600","$193,600",POINT (-73.008348677 41.452654688)
Haddam,L0340200,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 MOODUS RD,CONN STATE OF MUNICIPAL DIV,15,105/136,"$4,100",$0,"$4,100","$4,100",POINT (-72.50472 41.47439)
Clinton,C0644900,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 EAST MAIN ST(REAR),CONNECTICUT STATE OF,6,104/223,"$18,900",$0,"$18,900","$18,900",POINT (-72.507545662 41.27305284)
Hamden,2622007000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00200 MOUNTAIN RD,CONNECTICUT STATE OF,11.81,728/787,"$120,960",$0,"$120,960","$120,960",POINT (-72.95956841 41.380291379)
Bolton,10000709,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 TOOMEY RD,CONNECTICUT STATE OF,9.6,110/576,"$96,800",$0,"$96,800","$96,800",POINT (-72.435180054 41.773086953)
Goshen,00810011,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SHARON TURNPIKE,CONNECTICUT STATE OF - DEP,8.64,0/0,"$2,360",$0,"$2,360","$2,360",POINT (-73.258360503 41.826068221)
Hamden,2221035000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",01065 WINTERGREEN AVE,CONNECTICUT STATE OF,267.78,686/485,"$1,628,270",$0,"$1,628,270","$1,628,270",POINT (-72.9685473 41.349005819)
Bristol,0149861,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 PARK ST,STATE OF CONNECTICUT,0.1,2179/585,"$21,770",$0,"$21,770","$21,770",POINT (-72.959597687 41.672426364)
Colchester,C0515400,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 OLD HARTFORD RD,CONNECTICUT STATE OF,0.48,111/448,"$18,900",$0,"$18,900","$18,900",POINT (-72.366172988 41.585515202)
Durham,C0053700,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 BLUE HILLS RD,CONNECTICUT STATE OF,72.9,94/641,"$322,140",$0,"$322,140","$322,140",POINT (-72.635573378 41.448811529)
Canton,1850002,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00002 CHERRY BROOK ROAD,CONNECTICUT STATE OF,2,265/914,"$420,000","$11,200","$431,200","$431,200",POINT (-72.928047591 41.835411283)
Durham,C0054300,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 HARVEY RD,CONNECTICUT STATE OF,2.88,0/0,"$7,490",$0,"$7,490","$7,490",POINT (-72.647600038 41.466310643)
