Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
210153,2021,12/13/2021,Glastonbury,999 NEIPSIC RD,"$281,600.00","$460,000.00",0.6121,Residential,Single Family,,,,POINT (-72.546326012 41.700485)
200694,2020,04/12/2021,Manchester,28 MIDDLE TURNPIKE EAST,"$96,600.00","$168,000.00",0.575,Residential,Single Family,25 - Other,EXECUTORS DEED,,
21011,2021,10/06/2021,Guilford,255 DURHAM RD,"$218,740.00","$340,000.00",0.6433,Residential,Single Family,,,,POINT (-72.688509995 41.30519101)
10059,2001,09/04/2002,Warren,13 PARTRIDGE RD,"$173,250.00","$274,900.00",0.630229174,,,7,,,
200042,2020,11/09/2020,Coventry,57 HICKORY DR,"$100,600.00","$201,000.00",0.5004,Residential,Single Family,,,,
200394,2020,04/13/2021,East Haven,19 FARVIEW AVE,"$146,250.00","$291,000.00",0.5025,Residential,Single Family,,,,
210099,2021,12/16/2021,Bloomfield,72 TARIFFVILLE ROAD,"$269,710.00","$390,000.00",0.6915,Vacant Land,,24 - Plottage,ONE SALES PRICE FOR 3 PARCELS,,POINT (-72.75822899 41.897976008)
2011391,2020,03/15/2021,Griswold,4 COMMERCE CIRCLE,"$49,350.00","$80,000.00",0.616875,Vacant Land,,25 - Other,"sold together with lots 3,4,5 and 6",,POINT (-72.72397 41.48224)
210255,2021,12/10/2021,Hamden,202 BELDEN RD,"$108,150.00","$235,000.00",0.4602,Residential,Single Family,,,,POINT (-72.950495013 41.354379999)
212036,2021,08/08/2022,Bridgeport,540 JAMES ST,"$252,150.00","$650,000.00",0.3879,Commercial,,,,,POINT (-73.204413035 41.183766989)
210287,2021,11/09/2021,Bridgeport,2600 PARK AVE UNIT 6C,"$59,670.00","$65,000.00",0.918,Residential,Condo,25 - Other,DISTRESS SALE,,POINT (-73.215320992 41.193990019)
21070,2021,11/18/2021,Stafford,155 WALES RD,"$35,140.00","$34,350.00",1.0229,Vacant Land,,,,,POINT (-72.252703856 42.016435568)
210034,2021,10/06/2021,Bristol,61-63 WOODING ST,"$113,400.00","$210,000.00",0.54,Residential,Three Family,,,,POINT (-72.937711018 41.683592993)
21088,2021,08/05/2022,Deep River,CASTLE HEIGHTS,"$38,430.00","$27,500.00",1.3974,Vacant Land,,,,,POINT (-72.436078278 41.394492871)
200668,2020,02/26/2021,Greenwich,105 PARSONAGE ROAD,"$3,788,120.00","$5,200,000.00",0.7284,Residential,Single Family,,,,POINT (-73.62755 41.06154)
200218,2020,12/30/2020,Groton,113 LAURELWOOD RD,"$118,860.00","$245,500.00",0.484154786,Residential,Single Family,,,,POINT (-72.04774 41.34944)
210099,2021,05/04/2022,Brooklyn,116 WINDHAM RD,"$226,400.00","$450,000.00",0.5031,Residential,Single Family,,,,POINT (-71.985156002 41.776263021)
211156,2021,09/01/2022,New Britain,757 WEST MAIN ST,"$209,650.00","$289,900.00",0.7231,Commercial,,,,,POINT (-72.808002994 41.666880986)
2000188,2020,02/17/2021,Cheshire,28 S MAIN ST,"$336,850.00","$565,000.00",0.5961,Commercial,,,,,
210772,2021,06/08/2022,Fairfield,255 ALDEN STREET,"$359,380.00","$600,000.00",0.5989,Residential,Single Family,,,,POINT (-73.256861034 41.132299002)
21066,2021,03/03/2022,Haddam,14 BARTMAN RD,"$213,350.00","$382,000.00",0.558507853,Residential,Single Family,,,,POINT (-72.556806995 41.444609008)
200653,2020,03/30/2021,Manchester,69 GREEN MANOR ROAD,"$115,600.00","$220,000.00",0.5254,Residential,Single Family,25 - Other,TRUSTEES DEED,,POINT (-72.50165 41.78936)
21241,2021,05/26/2022,Monroe,3 SHERWOOD PL,"$177,900.00","$412,609.00",0.4311,Residential,Single Family,,,,POINT (-73.269281002 41.323392019)
201228,2020,08/27/2021,Bristol,535 EAST RD,"$130,270.00","$272,000.00",0.4789,Residential,Three Family,,,,POINT (-72.93121 41.66609)
211036,2021,07/20/2022,Hamden,6 SUNNYSIDE AVE,"$142,030.00","$299,900.00",0.4735,Residential,Single Family,,,,POINT (-72.899619962 41.39746998)
210013,2021,10/05/2021,Danbury,12 BOULEVARD 24-142,"$193,300.00","$410,100.00",0.4713,Residential,Condo,,E16006-142,,POINT (-73.498683969 41.378973006)
210052,2021,08/29/2022,Morris,63 KENYON RD,"$296,220.00","$675,000.00",0.4388,Residential,Single Family,,,,POINT (-73.239119981 41.667028005)
210142,2021,04/08/2022,Ellington,6 PINE DR,"$212,350.00","$250,000.00",0.8494,Residential,Single Family,10 - A Will,"SOLD IN ACCORDANCE WITH WILL; SOLD ""AS IS""",,POINT (-72.444599966 41.894599987)
210125,2021,04/01/2022,Litchfield,88 WIGWAM RD,"$326,280.00","$1,383,200.00",0.235887796,Residential,Single Family,28 - Use Assessment,,"PER MLS SALE PRICE = $1,520,000, TWO DEEDS ON TOWN CARD",POINT (-73.134556996 41.700734991)
212089,2021,08/17/2022,Bridgeport,371 WOOD AVE #373,"$187,014.00","$375,000.00",0.4987,Residential,Three Family,25 - Other,DISTRESS SALE,,POINT (-73.207566841 41.178003093)
200870,2020,06/09/2021,Manchester,191 GARTH ROAD,"$72,100.00","$75,000.00",0.9613,Vacant Land,,,,,
200008,2020,10/21/2020,Bethlehem,34 HIGHLAND ROAD,"$82,000.00","$106,000.00",0.7735,Residential,Single Family,,,,
2000228,2020,05/24/2021,Bloomfield,92 ADAMS ROAD,"$170,520.00","$300,000.00",0.5684,Residential,Single Family,,,,POINT (-72.74241 41.87381)
200046,2020,10/21/2020,East Haven,6 CLANCY ST,"$125,720.00","$215,000.00",0.584744186,Residential,Single Family,25 - Other,,DUPLICATE ENTRY - ALSO SEE #200044,
210291,2021,09/19/2022,Clinton,8 EGYPT LN,"$196,900.00","$440,000.00",0.4475,Residential,Single Family,,,,POINT (-72.540553982 41.309332005)
200288,2020,04/20/2021,Madison,34 HORSEPOND RD,"$225,600.00","$440,000.00",0.5127,Residential,Single Family,,,,
200192,2020,05/10/2021,East Haddam,96 LONGWOOD DR,"$83,020.00","$175,000.00",0.4744,Residential,Single Family,,,,POINT (-72.33294 41.51729)
210905,2021,04/28/2022,Danbury,12 MOORLAND DR,"$272,000.00","$640,000.00",0.425,Residential,Condo,,B15004-43,,POINT (-73.522548401 41.38503251)
20200,2020,02/12/2021,Bethel,40 HUNTING RIDGE LANE,"$210,799.00","$425,432.00",0.4954,Residential,Condo,07 - Change in Property,,,POINT (-73.41068 41.38323)
200016,2020,11/16/2020,Goshen,24 STONEBRIDGE LANE,"$246,680.00","$450,000.00",0.5481,Residential,Single Family,,,,
210333,2021,08/09/2022,Berlin,151 SPRUCE BROOK RD,"$185,300.00","$167,500.00",1.106268657,Residential,Single Family,08 - Part Interest,OTHER,,POINT (-72.748489973 41.599871987)
10045,2001,01/03/2002,Bethany,9 SIMPSON CT,"$96,590.00",$0.00,0,,,1,,,
21164,2021,03/16/2022,Darien,58 ALLWOOD RD,"$1,819,300.00","$3,677,500.00",0.4947,Residential,Single Family,,,,POINT (-73.503139035 41.098293998)
210034,2021,10/08/2021,Fairfield,245 TOWNE HOUSE ROAD,"$479,780.00","$760,000.00",0.6312,Residential,Single Family,,,,POINT (-73.286546969 41.201316012)
210340,2021,08/23/2022,Cromwell,2 EVERGREEN ROAD,"$265,300.00","$67,044.00",3.9571,Residential,Single Family,08 - Part Interest,QUIT CLAIM PARTIAL INTEREST,,POINT (-72.653618982 41.61372698)
2100266,2021,08/17/2022,New Fairfield,3 DARIEN RD,"$185,200.00","$220,000.00",0.8418,Residential,Single Family,,,,POINT (-73.533706997 41.463068012)
21371,2021,08/19/2022,Bethel,3 EAGLE ROCK HILL,"$118,440.00","$325,000.00",0.3644,Residential,Condo,,,,POINT (-73.40802103 41.381634009)
10049,2001,12/17/2001,Putnam,12-16 BATTEY ST,"$63,000.00","$100,000.00",0.63,,,,,,
200309,2020,03/30/2021,Farmington,30 CHILTERN ST,"$309,720.00","$510,000.00",0.6072,Residential,Single Family,,,,POINT (-72.83211 41.75374)
200349,2020,02/24/2021,Enfield,96 ABBE RD,"$131,720.00","$220,900.00",0.5962,Residential,Single Family,,,,
2100025,2021,03/22/2022,Hampton,653 PUDDING HILL RD,"$123,410.00","$356,500.00",0.3461,Residential,Single Family,,,,POINT (-72.068271959 41.743149013)
210234,2021,02/14/2022,Glastonbury,32-A1 WILLIEB ST,"$64,500.00","$133,000.00",0.4849,Residential,Condo,,,,POINT (-72.59988782 41.701697648)
20053,2020,10/21/2020,East Hartford,33 ARAWAK DR,"$19,420.00","$32,000.00",0.6068,Residential,Condo,,MOBILE HOME,,POINT (-72.63414 41.7344)
200526,2020,08/23/2021,Guilford,71 HIGHWOODS DR,"$265,160.00","$466,000.00",0.569,Residential,Single Family,,,,POINT (-72.70499 41.31527)
200035,2020,11/02/2020,East Haddam,49 BOGUE LANE,"$224,050.00","$315,000.00",0.7112,Residential,Single Family,,,,POINT (-72.42011 41.46578)
210120,2021,01/03/2022,Bloomfield,12 SHIBAH WAY,"$203,210.00","$619,000.00",0.3282,Residential,Condo,,,,POINT (-72.774566483 41.83263674)
201212,2020,08/23/2021,Bristol,8 JENNINGS TERR,"$88,060.00","$91,000.00",0.9676,Residential,Single Family,14 - Foreclosure,FORECLOSURE SALE OUT OF BANK,,
21062,2021,02/24/2022,Haddam,637 KILLINGWORTH RD,"$151,720.00","$389,000.00",0.390025707,Residential,Single Family,,,,POINT (-72.555388022 41.454146021)
210828,2021,01/26/2022,Bridgeport,252 DOVER ST,"$80,577.00","$165,000.00",0.4883,Residential,Single Family,,,,POINT (-73.167325963 41.196808015)
2100650,2021,09/07/2022,Naugatuck,156 WILDWOOD CIR,"$145,620.00","$370,000.00",0.3935,Residential,Single Family,,,,POINT (-73.086118984 41.503336016)
200551,2020,06/29/2021,East Haven,207 EDDON DR,"$297,440.00","$540,500.00",0.5503,Residential,Single Family,,,,
21116,2021,01/24/2022,Darien,9 CLUBHOUSE CIRCLE,"$869,820.00","$1,507,500.00",0.5769,Residential,Single Family,,,,POINT (-73.48022903 41.063884986)
200853,2020,06/04/2021,Manchester,7 LINCOLN STREET,"$84,200.00","$150,000.00",0.5613,Residential,Single Family,,,,
200077,2020,12/11/2020,Coventry,341 DUNN RD,"$151,900.00","$249,900.00",0.6078,Residential,Single Family,,,,POINT (-72.38633 41.82639)
11920,2001,09/24/2002,Norwalk,26 KNAPP ST,"$101,920.00","$260,000.00",0.392,,,,,,
200462,2020,08/03/2021,Madison,69 FORT PATH RD,"$216,100.00","$365,000.00",0.592,Residential,Single Family,25 - Other,sale by exec of estate,,POINT (-72.61285 41.28347)
200262,2020,09/22/2021,Canton,21 EAST STREET,"$151,020.00","$385,000.00",0.3922,Residential,Single Family,,,,POINT (-72.91955 41.81181)
210032,2021,08/15/2022,Hartland,LOT 1,"$71,840.00","$84,000.00",0.8552,Vacant Land,,,,,POINT (-72.90676 41.99858)
210140,2021,09/15/2022,East Granby,143-145 NORTH MAIN STREET,"$130,600.00","$75,000.00",1.741333333,Residential,Two Family,07 - Change in Property,"PP TOO LOW, RATIO TOO HIGH","POOR CONDITION PER MLS - ASSESSMENT REDUCED TO $63,400 FOR 2022 GRAND LIST",POINT (-72.720844025 41.963067982)
2101412,2021,05/02/2022,Stamford,11 BERTMOR DRIVE,"$389,170.00","$775,000.00",0.5021,Residential,Single Family,,,,POINT (-73.533210034 41.097502998)
210037,2021,11/08/2021,New Canaan,57 ASH TREE LA,"$997,570.00","$1,407,500.00",0.7087,Residential,Single Family,,,,POINT (-73.500562018 41.133454992)
2102049,2021,07/28/2022,Stamford,91 STRAWBERRY HILL AVE #224,"$130,350.00","$145,000.00",0.8989,Residential,Condo,,EXECUTOR'S DEED,,POINT (-73.532295988 41.063903007)
211318,2021,09/12/2022,Bristol,"10 EBERT DR., #52","$78,890.00","$197,000.00",0.4004,Residential,Condo,,,,POINT (-72.924709009 41.654481008)
200240,2020,03/23/2021,Madison,389 COUNTY RD,"$218,500.00","$200,000.00",1.0925,Residential,Single Family,25 - Other,motivated seller,,POINT (-72.65238 41.40895)
210196,2021,03/29/2022,Ledyard,10 JESSICA LN,"$177,800.00","$281,703.00",0.6311,Residential,Single Family,25 - Other,TRIBE TO MEMBER,,POINT (-71.957222974 41.458195989)
200532,2020,09/29/2021,East Lyme,8 WINTHROP DR,"$219,100.00","$475,000.00",0.4612,Residential,Single Family,,,,
20066,2002,01/27/2003,Brooklyn,FITZGERALD RD,$0.00,"$110,000.00",0,,,6,,,
200052,2020,05/13/2021,Lyme,3 BEAVER BROOK RD,"$293,900.00","$527,500.00",0.5571,Residential,Single Family,,,,POINT (-72.33631 41.41192)
21203,2021,04/19/2022,Darien,599 MIDDLESEX ROAD,"$2,309,860.00","$2,062,500.00",1.1199,Residential,Single Family,08 - Part Interest,,,POINT (-73.483176023 41.100568008)
200039,2020,09/30/2021,Bozrah,62 HOUGH RD,"$111,410.00","$265,000.00",0.4204,Residential,Single Family,,,,POINT (-72.1795 41.55605)
200568,2020,10/07/2020,Salem,81A SKYLINE DR.,"$46,900.00","$75,000.00",0.6253,Vacant Land,,,,,
210316,2021,07/05/2022,Avon,187 WEST AVON ROAD,"$278,710.00","$500,000.00",0.5574,Residential,Single Family,24 - Plottage,,,POINT (-72.86322096 41.805310003)
211865,2021,07/11/2022,Bridgeport,106 VIRGINIA AVE,"$46,080.00","$132,000.00",0.349,Residential,Condo,,,,POINT (-73.176583021 41.210267004)
210632,2021,04/12/2022,Hamden,17 BELDEN RD,"$106,400.00","$236,000.00",0.4508,Residential,Single Family,,,,POINT (-72.954184978 41.350726998)
200820,2020,05/26/2021,Manchester,106 COLEMAN ROAD,"$104,000.00","$235,000.00",0.4425,Residential,Single Family,,,,
211056,2021,07/26/2022,Hamden,151 THORNTON ST,"$173,390.00","$341,000.00",0.5084,Residential,Single Family,,,,POINT (-72.913725028 41.366671012)
210023,2021,10/26/2021,Canton,134 GRACEY ROAD,"$222,220.00","$475,000.00",0.4678,Residential,Single Family,,,,POINT (-72.88374799 41.845668993)
200895,2020,04/23/2021,Greenwich,33 BROAD ROAD,"$3,681,650.00","$4,375,000.00",0.8415,Residential,Single Family,,,,POINT (-73.63007 41.01225)
200222,2020,08/05/2021,Canton,48 FOREST LANE,"$153,700.00","$287,700.00",0.5342,Residential,Single Family,,,,POINT (-72.87679 41.81565)
20879,2020,06/15/2021,Hartford,421 WETHERSFIELD AVE #000B,"$18,706.00","$60,000.00",0.311766667,Residential,Condo,,,,
21000319,2021,05/27/2022,Cheshire,498 OAK AVE U28,"$55,930.00","$100,000.00",0.5593,Residential,Condo,,,,POINT (-72.916443028 41.494626003)
20486,2020,04/19/2021,East Hartford,37 PENDLETON DR,"$113,530.00","$225,000.00",0.5045,Residential,Single Family,,,,
200821,2020,05/27/2021,Meriden,7 CARRIAGE CRSNG,"$67,270.00","$82,000.00",0.8203,Residential,Condo,,,,
210286,2021,09/13/2022,Clinton,2 BLAKE AVE,"$366,637.00","$835,000.00",0.439,Residential,Single Family,,,,POINT (-72.510953961 41.259202986)
2020177,2020,04/14/2021,Ansonia,323 BEAVER ST,"$133,000.00","$248,400.00",0.5354,Residential,Single Family,,,,POINT (-73.06822 41.35014)
2000110,2020,01/08/2021,Bloomfield,43 MILLS LANE,"$177,940.00","$290,000.00",0.6135,Residential,Single Family,,,,POINT (-72.73915 41.83978)
200211,2020,06/18/2021,Windsor Locks,67 SUFFIELD ST,"$116,410.00","$261,000.00",0.446,Residential,Single Family,,,,
200305,2020,02/22/2021,Branford,49 ROSE ST TOWERS UNIT 402,"$97,800.00","$147,000.00",0.6653,Residential,Condo,,,,
200287,2020,04/20/2021,East Lyme,35A SCOTT RD,"$206,990.00","$421,000.00",0.4916,Residential,Single Family,,,,
2020098,2020,12/15/2020,Berlin,233 LINCOLN STREET,"$142,700.00","$259,000.00",0.5509,Residential,Single Family,,,,
21319,2021,05/12/2022,Guilford,PEDDLERS RD,"$128,770.00","$2,600.00",49.5269,Vacant Land,,06 - Portion of Property,MAP 72 LOT 12-B ID#8689,,POINT (-72.707643679 41.294636762)
201024,2020,07/19/2021,Manchester,32 HIGHLAND STREET,"$94,900.00","$162,000.00",0.5858,Residential,Single Family,,,,POINT (-72.50296 41.76474)
200255,2020,03/02/2021,Farmington,12 COPPER BEECH LA,"$500,390.00","$625,000.00",0.8006,Residential,Single Family,,,,POINT (-72.81724 41.75228)
200170,2020,04/05/2021,Cromwell,13 WILDWOOD ROAD,"$133,210.00","$257,000.00",0.518326848,Residential,Single Family,07 - Change in Property,UPDATE/REMOD NOT REFLECTED IN OUR RECORD,,POINT (-72.65591 41.62397)
200417,2020,04/13/2021,Glastonbury,279 ADDISON RD,"$166,800.00","$280,000.00",0.5957,Residential,Single Family,,,,POINT (-72.58114 41.72535)
200148,2020,12/07/2020,East Haven,6 WHEATON RD,"$160,060.00","$275,000.00",0.582,Residential,Single Family,,,,
210780,2021,01/20/2022,Bridgeport,2995 MADISON AVE UNIT #23,"$78,810.00","$152,000.00",0.518486842,Residential,Single Family,,,,POINT (-73.227327166 41.214971638)
201228,2020,06/09/2021,Griswold,70 OSGA LANE,"$47,740.00","$80,000.00",0.5967,Vacant Land,,,,,POINT (-71.91687 41.56653)
210449,2021,01/21/2022,New Britain,50 PENTLOW AVE,"$123,130.00","$190,000.00",0.648,Residential,Single Family,,,,POINT (-72.792976002 41.693772018)
210132,2021,02/01/2022,Berlin,59 WALDEN CT,"$274,800.00","$550,000.00",0.4996,Residential,Single Family,,,,POINT (-72.741354961 41.613130021)
218178,2021,05/20/2022,Middletown,85 LORELEI CIRCLE,"$170,410.00","$340,000.00",0.5012,Residential,Single Family,,,,POINT (-72.660411006 41.538420986)
2100027,2021,03/29/2022,Canaan,102 JOHNSON RD,"$345,400.00","$755,000.00",0.4574,Residential,Single Family,,,,POINT (-73.349665968 41.937614992)
210248,2021,08/15/2022,Derby,10 BELLEVIEW DR,"$173,460.00","$370,000.00",0.4688,Residential,Single Family,,,,POINT (-73.048310984 41.318737004)
200030,2020,10/19/2020,Guilford,273 PODUNK RD,"$453,650.00","$620,000.00",0.7316,Residential,Single Family,,,,
211433,2021,08/25/2022,Danbury,21 EAST CROSS TR,"$18,200.00","$630,768.00",0.0288,Residential,Condo,07 - Change in Property,NEW CONSTRUCTION / B16001-136,,POINT (-73.430055964 41.397497012)
20041,2020,06/02/2021,Eastford,52 LAKESIDE DR,"$132,040.00","$265,000.00",0.4982,Residential,Single Family,,,,
200142,2020,11/30/2020,Glastonbury,51 ROCKHAVEN DR,"$131,900.00","$180,000.00",0.7327,Residential,Condo,,,,
2100021,2021,11/12/2021,Marlborough,102 PETTENGILL RD,"$159,850.00","$315,000.00",0.5074,Residential,Single Family,,,,POINT (-72.474217002 41.632290004)
200944,2020,05/17/2021,Danbury,14 BOULDER RIDGE W,"$124,900.00","$255,000.00",0.4898,Residential,Single Family,,I05099,,POINT (-73.45054 41.44258)
10164,2001,07/17/2002,Somers,21 LOUBIER DR,"$201,260.00","$380,000.00",0.529631579,,,,,,
200763,2020,03/23/2021,Greenwich,31 SCOTT LANE,"$959,910.00","$1,115,000.00",0.8609,Residential,Single Family,,,,POINT (-73.63762 41.13994)
210081,2021,01/12/2022,Coventry,24 WALNUT TR,"$99,600.00","$195,000.00",0.5107,Residential,Single Family,,,,POINT (-72.313112967 41.764763008)
210056,2021,11/23/2021,Avon,46 LAKEVIEW BOULEVARD,"$132,120.00","$255,000.00",0.5181,Residential,Single Family,,,,POINT (-72.88244804 41.810185002)
210969,2021,05/12/2022,Danbury,17 CORN TASSLE RD,"$218,800.00","$525,000.00",0.4167,Residential,Single Family,,J07148,,POINT (-73.436650007 41.43472402)
200152,2020,09/16/2021,Beacon Falls,29 BAYBERRY COURT,$0.00,"$601,291.00",0,Residential,Condo,07 - Change in Property,New Construction,,POINT (-73.03841 41.42299)
200029,2020,11/30/2020,Kent,KENMONT RD,"$113,800.00","$75,000.00",1.5173,Vacant Land,,,,,
210342,2021,08/26/2022,Cromwell,9 NORDLAND AVENUE,"$148,330.00","$265,000.00",0.5597,Residential,Single Family,,,,POINT (-72.644681024 41.60358999)
200001,2020,10/01/2020,Killingworth,35 WHITEWOOD ROAD,"$114,460.00","$225,000.00",0.5087,Residential,Single Family,,,,POINT (-72.56027 41.3748)
210028,2021,11/09/2021,Brooklyn,372 HARTFORD RD,"$151,700.00","$325,000.00",0.4667,Residential,Two Family,,,,POINT (-71.982303975 41.782790009)
201487,2020,07/27/2021,Greenwich,130 WOODSIDE DRIVE,"$1,333,780.00","$2,095,000.00",0.636649165,Residential,Single Family,,,,
210283,2021,08/29/2022,Ellington,7 HEATHER RD,"$130,170.00","$136,000.00",0.9571,Residential,Single Family,01 - Family,INTER FAMILY,,POINT (-72.482400002 41.894092002)
210571,2021,08/08/2022,Branford,183 MAPLE ST,"$169,300.00","$370,000.00",0.4575,Residential,Single Family,,,,POINT (-72.825196037 41.272066986)
21000270,2021,04/18/2022,Cheshire,150 BRADFORD RD,"$152,730.00","$317,500.00",0.481,Residential,Single Family,,,,POINT (-72.912288035 41.459416981)
210816,2021,05/11/2022,New Britain,38 WILSON ST,"$104,090.00","$284,900.00",0.3653,Residential,Three Family,,,,POINT (-72.766271007 41.672826983)
21394,2021,08/15/2022,Darien,55 HOLLY LANE,"$938,070.00","$1,810,000.00",0.5182,Residential,Single Family,,,,POINT (-73.493898992 41.082111979)
210154,2021,11/03/2021,Harwinton,16 PINE RIDGE DR,"$123,820.00","$277,000.00",0.447,Residential,Single Family,,,,POINT (-73.075203985 41.780491984)
21113,2021,12/22/2021,Bethel,505 COPPER SQUARE DRIVE,"$213,570.00","$379,900.00",0.5621,Residential,Condo,,,,POINT (-73.383881987 41.416697019)
210129,2021,12/06/2021,Branford,85 PINSKI DR,"$132,200.00","$285,000.00",0.4638,Residential,Single Family,,,,POINT (-72.855845975 41.274443004)
200088,2020,11/10/2020,Guilford,11 WOODRUFF AVE,"$185,380.00","$340,000.00",0.5452,Residential,Single Family,,,,
210170,2021,12/22/2021,Branford,2M THIMBLE ISLE,"$44,600.00","$115,000.00",0.3878,Residential,Condo,,,,POINT (-72.756183427 41.274651673)
200352,2020,05/28/2021,Madison,37 DUDLEY LN,"$335,700.00","$565,000.00",0.594159292,Apartments,,,,8 SINGLE FAMILY COTTAGES ON ONE PROPERTY,
10929,2001,07/11/2002,New Britain,CEDARWOOD DR LT A,"$25,960.00","$40,000.00",0.649,,,,,,
210037,2021,11/04/2021,New Fairfield,48 RTE 39,"$126,200.00","$200,000.00",0.631,Vacant Land,,25 - Other,MULTI PARCEL SALE,,POINT (-73.523374945 41.451857693)
20265,2020,12/22/2020,Hartford,88 BALTIMORE ST,"$57,295.00","$140,000.00",0.40925,Residential,Three Family,07 - Change in Property,,,
210327,2021,04/18/2022,Glastonbury,117 THREE MILE RD,"$195,100.00","$412,000.00",0.4735,Residential,Single Family,,,,POINT (-72.547317004 41.685349001)
210106,2021,02/24/2022,Litchfield,20 FLOREN POND RD,"$227,170.00","$600,000.00",0.3786,Residential,Single Family,,,,POINT (-73.240893005 41.758001997)
200577,2020,06/02/2021,Enfield,23 COTTAGE RD,"$155,200.00","$229,900.00",0.675,Residential,Single Family,25 - Other,GRANTOR HOLDS MORTGAGE,,POINT (-72.53819 42.02104)
200207,2020,06/10/2021,Rocky Hill,402 THE MEWS,"$120,890.00","$234,900.00",0.5146,Residential,Condo,,,,
200864,2020,04/19/2021,Greenwich,LOT 1 50 LAFRENTZ ROAD,"$666,680.00","$1,888,750.00",0.352974189,Vacant Land,,06 - Portion of Property,SUBIDIVISON SALE,,POINT (-73.67953 41.11369)
2000352,2020,06/01/2021,Cheshire,105 OLD TOWNE RD,"$140,870.00","$290,000.00",0.4857,Residential,Condo,,,,
210336,2021,04/07/2022,Branford,14 LANPHIERS COVE CAMP,"$68,400.00","$208,100.00",0.3286,Residential,Single Family,,COTTAGE ONLY/LAND PART OF ASSOCIATION,,POINT (-72.832004993 41.258918001)
10250,2001,07/18/2002,Coventry,HEMLOCK LN,"$1,260.00","$5,000.00",0.252,,,24,,,
2020210,2020,05/10/2021,Ansonia,34 WOODBRIDGE AVE,"$100,300.00","$85,000.00",1.18,Residential,Single Family,25 - Other,EXECUTOR'S DEED,,POINT (-73.07423 41.35356)
200056,2020,10/13/2020,Greenwich,59 CHERRY VALLEY ROAD,"$1,284,500.00","$1,200,000.00",1.0704,Residential,Single Family,10 - A Will,,,POINT (-73.65942 41.09855)
200021,2020,10/20/2020,Essex,48 SAYBROOK RD,"$213,400.00","$500,000.00",0.4268,Residential,Single Family,,ESSEX,,
20731,2020,07/19/2021,East Hartford,176 OAK ST,"$94,740.00","$230,000.00",0.4119,Residential,Single Family,07 - Change in Property,,,POINT (-72.57849 41.75957)
200247,2020,12/03/2020,Bristol,16 MORRIS AVE,"$104,720.00","$185,000.00",0.566,Residential,Single Family,,,,
20076,2020,11/09/2020,Darien,15 CASEMENT ST,"$908,040.00","$1,449,000.00",0.6266,Residential,Single Family,,,,
211377,2021,09/26/2022,Bristol,30 ROSEMARY LN,"$161,980.00","$320,000.00",0.5061,Residential,Single Family,,,,POINT (-72.909841022 41.703081001)
21066,2021,06/20/2022,Canterbury,0 MILLER RD,"$46,400.00","$68,000.00",0.6823,Vacant Land,,16 - Charitable Group,MAP 4 LOT 7 31.00 AC,,POINT (-72.049624855 41.693397127)
2020225,2020,05/26/2021,Ansonia,152 JACKSON ST,"$110,500.00","$239,900.00",0.4606,Residential,Three Family,,,,
210971,2021,07/28/2022,Fairfield,61 TWIN LANES ROAD,"$635,600.00","$1,550,000.00",0.41,Residential,Single Family,07 - Change in Property,PERMIT WORK,,POINT (-73.306520038 41.211616994)
21272,2021,04/06/2022,Guilford,137 OLD QUARRY RD,"$1,260,000.00","$1,600,000.00",0.7875,Residential,Single Family,,,,POINT (-72.732482968 41.255499987)
10001,2001,10/02/2001,Roxbury,352 SOUTH ST,"$234,240.00","$320,000.00",0.732,,,,,,
200156,2020,10/30/2020,Greenwich,141 OLD CHURCH ROAD,"$1,468,110.00","$1,950,000.00",0.7528,Residential,Single Family,,,,POINT (-73.61611 41.04261)
210632,2021,05/03/2022,Fairfield,151 RAKOCZY AVENUE,"$308,910.00","$850,900.00",0.363,Residential,Single Family,,,,POINT (-73.237936037 41.171392995)
200175,2020,10/29/2020,Milford,16 SEABREEZE AVE,"$180,950.00","$325,000.00",0.5567,Residential,Condo,,,,
211021,2021,05/26/2022,Danbury,73 WARRINGTON RN,"$304,800.00","$680,000.00",0.4482,Residential,Condo,,B15001-39-73,,POINT (-73.456510577 41.384901068)
200462,2020,04/30/2021,Glastonbury,82 SOUTH MILL DR,"$165,000.00","$247,500.00",0.6666,Residential,Condo,,,,
2020148,2020,02/02/2021,Berlin,48 CORNWALL ROAD,"$180,200.00","$296,000.00",0.6087,Residential,Single Family,,,,POINT (-72.79196 41.64571)
200178,2020,01/04/2021,Farmington,3 NORFOLK GARDENS,"$300,050.00","$475,000.00",0.6316,Residential,Single Family,,,,POINT (-72.83152 41.75394)
200188,2020,06/14/2021,Mansfield,10 SHARON DR,"$22,600.00","$38,000.00",0.5947,Residential,Single Family,,VALLEY VIEW MH PARK,,
211638,2021,05/27/2022,Bridgeport,325 LAFAYETTE ST UNIT #1204,"$51,510.00","$150,000.00",0.3434,Residential,Condo,,,,POINT (-73.189155037 41.167946985)
210221,2021,12/01/2021,Hamden,85 ARCH ST,"$124,880.00","$250,000.00",0.4995,Residential,Two Family,,,,POINT (-72.938462036 41.338536987)
21105,2021,12/03/2021,Guilford,28 WAUWINET CT,"$49,620.00","$95,000.00",0.5223,Residential,Condo,,,,POINT (-72.693470992 41.400346021)
