the_geom,OBJECTID,Rec_Type,Site_Num,Fac_Type,Loc_Id,Eff_Date,Region_Cod,Field_Offi,State_Post,State_Name,County,County_Pos,City,Fac_Name,Owner_Type,Fac_Use,Owner_Name,Owner_Addr,Owner_City,Owner_Phon,Manager_Na,Manager_Ad,Extra_Column_1,Extra_Column_2
POINT (-88.30584138904436 30.764355000382153),1032,APT,00514.*A,AIRPORT,AL74,7/16/2020,ASO,JAN,AL,ALABAMA,MOBILE,AL,SEMMES,GRIMES FIELD,PR,PR,"A. C. GRIMES, JR.",10980 A WULFF RD S,"SEMMES, AL 36575",(251) 709-4848,"A. C. GRIMES, JR.",10980 A WULFF RD S,"SEMMES, AL 36575",(251) 709-4848
POINT (-148.9688333330216 63.86758333316208),250,APT,50308.*A,AIRPORT,HRR,7/16/2020,AAL,NONE,AK,ALASKA,DENALI,AK,HEALY,HEALY RIVER,PU,PU,ALASKA DOT&PF NORTHERN REGION,2301 PEGER ROAD,"FAIRBANKS, AK 99709",907-451-2200,TOM WILLIAMS,2301 PEGER ROAD,"FAIRBANKS, AK 99709",907-451-5280
POINT (-88.76395972157165 39.52837055578189),5391,APT,04648.41*A,AIRPORT,35IS,7/16/2020,AGL,CHI,IL,ILLINOIS,SHELBY,IL,FINDLAY,ENOCH,PR,PR,ASHTON WAGGONER,RR4 BOX 235,"SHELBYVILLE, IL 62565",217-519-2951,ASHTON WAGGONER,RR4 BOX 235,"SHELBYVILLE, IL 62565",217-519-2951
POINT (-86.95252777768617 39.58349999965542),6286,APT,05596.7*A,AIRPORT,99II,7/16/2020,AGL,CHI,IN,INDIANA,PUTNAM,IN,REELSVILLE,COOPER FIELD,PR,PR,LARRY JOE COOPER,5592 WCR 525 SOUTH,"GREENCASTLE, IN 46135",(765) 721-4055,LARRY JOE COOPER,5592 WCR 525 SOUTH,"GREENCASTLE, IN 46135",(765) 721-4055
POINT (-120.62872222203336 40.43749444366461),2464,APT,02332.01*H,HELIPORT,99CN,7/16/2020,AWP,SFO,CA,CALIFORNIA,LASSEN,CA,SUSANVILLE,BANNER LASSEN MEDICAL CENTER,PR,PR,BANNER LASSEN MEDICAL CENTER,1800 SPRING RIDGE DR.,"SUSANVILLE, CA 96130",530-252-2155,MATT DEFABRIZIO,1800 SPRING RIDGE DR.,"SUSANVILLE, CA 96130",(530) 252-2158
POINT (-81.6073030559436 26.445356667139414),3398,APT,03178.7*A,AIRPORT,1FD4,7/16/2020,ASO,ORL,FL,FLORIDA,LEE,FL,ESTERO,CORKSCREW TRACE AIRPARK,PR,PR,BOVINE BREEZE LLC,21400 CORKSCREW RD,"ESTERO, FL 33928",239-947-1355,QUINN RUELLE,6018 CAJEPUT LANE,"BONITA SPRINGS, FL 34134",239-537-5300
POINT (-118.38254166714434 33.93043333324922),1900,APT,01542.36*H,HELIPORT,32CN,7/16/2020,AWP,LAX,CA,CALIFORNIA,LOS ANGELES,CA,EL SEGUNDO,PACIFIC BELL-2300 IMPERIAL HWY,PR,PR,PACIFIC TELEPHONE CO,,,,J CHEKIE,170 N FAIR OAKS,"PASA, CA 91103",818-578-2922
POINT (-85.6892444443016 31.408411110843332),894,APT,00329.17*H,HELIPORT,16AL,7/16/2020,ASO,JAN,AL,ALABAMA,DALE,AL,FORT RUCKER/OZARK,HOOPER STAGEFIELD AHP,MR,PR,US ARMY AVIATION CTR & FORT RUCKER,NOVOSEL ST,"FORT RUCKER, AL 36362",334-255-9764,JACK A HOLMES,"USAACE G3 AIR,","FORT RUCKER, AL 36362",334-255-9764
POINT (-119.54162777758671 36.08867222168897),1841,APT,01440.*A,AIRPORT,24CL,7/16/2020,AWP,SFO,CA,CALIFORNIA,KINGS,CA,CORCORAN,BOSWELL,PR,PR,JG BOSWELL COMPANY,PO BOX 457,"CORCORAN, CA 93212",559-992-2141,HAROLD GRAEBE,JG BOSWELL CO PO BOX 457,"CORCORAN, CA 93212",559-992-2141
POINT (-81.33649999993627 28.275099999675163),3582,APT,03267.125*H,HELIPORT,19FD,7/16/2020,ASO,ORL,FL,FLORIDA,OSCEOLA,FL,KISSIMMEE,OSCEOLA SHERIFF'S OFC - BRONSON HWY,PR,PR,OSCEOLA CO SHERIFF'S OFC,2601 E. IRLO BRONSON MEMORIAL HWY,"KISSIMMEE, FL 34744",407-348-2222,SGT. BRIAN DEMEULENAERE,4013 5TH STREET,"KISSIMMEE, FL 34741",(321) 697-4444
POINT (-92.54798613867283 41.98823161080194),4853,APT,06381.4*A,AIRPORT,8C5,7/16/2020,ACE,NONE,IA,IOWA,TAMA,IA,TOLEDO,TOLEDO MUNI,PU,PU,CITY OF TOLEDO,CITY CLERK 103 S CHURCH,"TOLEDO, IA 52342",641-484-2160,JEFF ELSE,401 S. ELM,"TOLEDO, IA 52342",641-484-2741
POINT (-90.49816194370095 36.05090222170715),1316,APT,01132.2*H,HELIPORT,AR95,7/16/2020,ASW,AOK,AR,ARKANSAS,GREENE,AR,PARAGOULD,ARKANSAS METHODIST HOSPITAL,PR,PR,ARKANSAS METHODIST HOSPITAL,900 WEST KINGS HIGHWAY,"PARAGOULD, AR 72450",(870) 239-7000,BARRY DAVIS,900 WEST KINGS HIGHWAY,"PARAGOULD, AR 72450",(870) 239-7000
POINT (-81.20764888861886 29.465151111376713),3864,APT,03423.3*A,AIRPORT,FIN,7/16/2020,ASO,ORL,FL,FLORIDA,FLAGLER,FL,PALM COAST,FLAGLER EXECUTIVE,PU,PU,FLAGLER COUNTY,"1769 EAST MOODY BOULEVARD, #2, SUITE 302","BUNNELL, FL 32110",(386) 313-4220,ROY SIEGER JR.,"FLAGLER COUNTY AIRPORT, 201 AIRPORT ROAD","PALM COAST, FL 32164",(386) 313-4220
POINT (-81.38019166673548 28.523122221944945),3831,APT,03406.31*H,HELIPORT,3FD5,7/16/2020,ASO,ORL,FL,FLORIDA,ORANGE,FL,ORLANDO,ARNOLD PALMER HOSPITAL,PR,PR,ORLANDO HEALTH,92 WEST MILLER ST,"ORLANDO, FL 32806",407-843-5783,KAREN THURMOND,"52 W. UNDERWOOD ST., MP 42","ORLANDO, FL 32806",407-841-5111
POINT (-102.21713277804137 38.10000999987412),2788,APT,02633.3*A,AIRPORT,CO73,7/16/2020,ANM,DEN,CO,COLORADO,PROWERS,CO,HARTMAN,AIR-SPRAYERS NR 2,PR,PR,"AIR-SPRAYERS, INC.",BOX 12,"TWO BUTTES, CO 81084",303-537-6438,RON DROSSELMEYER,BOX 12,"TWO BUTTES, CO 81084",303-739-4751
POINT (-89.93419444391616 38.58327777826874),5655,APT,04918.01*H,HELIPORT,09IL,7/16/2020,AGL,NONE,IL,ILLINOIS,ST CLAIR,IL,O'FALLON,ST ELIZABETH'S HOSPITAL,PR,PR,HOSPITAL SISTERS HEALTH SYSTEM,4936 LA VERNA RD,"SPRINGFILED, IL 62707",217-523-4747,TIM CLAXTON,1 ST. ELIZABETH BLVD,"O'FALLON, IL 62269",618-234-2120
POINT (-89.36249999987504 42.307222222135735),5677,APT,04935.02*H,HELIPORT,IS58,7/16/2020,AGL,CHI,IL,ILLINOIS,WINNEBAGO,IL,PECATONICA,PECATONICA FIRE PROTECTION DISTRICT,PR,PR,PECATONICA FIRE PROTECTION DISTRICT,1221 MAIN ST,"PECATONICA, IL 61063-0307",815-239-2513,STEVE VAN VLECK,1221 MAIN ST,"PECATONICA, IL 61603-0307",815-239-2513
POINT (-105.14583333332367 40.31188611115765),2596,APT,02518.52*A,AIRPORT,6CO6,7/16/2020,ANM,NONE,CO,COLORADO,LARIMER,CO,BERTHOUD,SKYWAGON RANCH,PR,PR,PATRICK ROMANO,910 NORTH CR 23,"BERTHOUD, CO 80513",512-289-1989,PATRICK ROMANO,910 NORTH CR 23,"BERTHOUD, CO 80513",512-289-1989
POINT (-85.80480555591222 39.58313888906856),6318,APT,05649.1*A,AIRPORT,GEZ,7/16/2020,AGL,CHI,IN,INDIANA,SHELBY,IN,SHELBYVILLE,SHELBYVILLE MUNI,PU,PU,SHELBYVILLE BOAC,44 W WASHINGTON ST,"SHELBYVILLE, IN 46176",317-398-6624,JORDAN BULLARD,3529 N 100 WEST,"SHELBYVILLE, IN 46176",317-392-1284
POINT (-150.14083333293428 65.50790000006796),519,APT,50645.*A,AIRPORT,RMP,7/16/2020,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,RAMPART,RAMPART,PU,PU,ALASKA DOT&PF NORTHERN REGION,2301 PEGER ROAD,"FAIRBANKS, AK 99709",(907) 451-5280,SCOTT RANDBY,2301 PEGER RD,"FAIRBANKS, AK 99709",(907) 451-5280
POINT (-122.33889277836066 40.34626416674804),1851,APT,01457.81*A,AIRPORT,CA04,7/16/2020,AWP,SFO,CA,CALIFORNIA,TEHAMA,CA,COTTONWOOD,FLYING N RANCH,PR,PR,JAMES & PEGGY NEWMEYER,18775 LAUREL WAY,"COTTONWOOD, CA 96022",(530) 347-7112,,,,
POINT (-115.99777777801557 34.20611138871287),2500,APT,02379.3*A,AIRPORT,43CL,7/16/2020,AWP,LAX,CA,CALIFORNIA,SAN BERNARDINO,CA,TWENTYNINE PALMS,DICK DALE SKYRANCH,PR,PR,RICHARD MONSOUR & DICK DALE,P.O. BOX 1713,"TWENTYNINE PALMS, CA 92277",(760) 367-7003,DICK DALE,P.O. BOX 1713,"TWENTYNINE PALMS, CA 92277",(760) 367-7003
POINT (-119.19213433288304 35.50747538909412),2428,APT,02292.*A,AIRPORT,MIT,7/16/2020,AWP,LAX,CA,CALIFORNIA,KERN,CA,SHAFTER,SHAFTER-MINTER FIELD,PU,PU,MINTER FIELD AIRPORT DISTRICT,201 AVIATION ST,"SHAFTER, CA 93263",661-393-0402,JONATHAN HUDSON,201 AVIATION ST,"SHAFTER, CA 93263",(661) 303-6996
POINT (-89.073558333229 42.2658638886683),5734,APT,04972.11*H,HELIPORT,09IS,7/16/2020,AGL,CHI,IL,ILLINOIS,WINNEBAGO,IL,ROCKFORD,SWEDISH AMERICAN,PR,PR,SWEDISH AMERICAN HOSPITAL,1401 E. STATE STREET,"ROCKFORD, IL 61104",815-968-4400,DICK MARSH,1401 E. STATE STREET,"ROCKFORD, IL 61104",815-968-4400
POINT (-86.47611111136771 38.56833333302828),6264,APT,05568.01*H,HELIPORT,64IG,7/16/2020,AGL,CHI,IN,INDIANA,ORANGE,IN,PAOLI,INDIANA UNIVERSITY HEALTH PAOLI INC,PR,PR,I.U. HEALTH PAOLI,642 WEST HOSPITAL RD,"PAOLI, IN 47454",812-723-7410,LARRY BAILEY,642 WEST HOSPITAL RD,"PAOLI, IN 47454",812-723-7410
POINT (-85.824819443724 33.27721666734596),778,APT,00135.01*H,HELIPORT,0AL2,7/16/2020,ASO,JAN,AL,ALABAMA,CLAY,AL,ASHLAND,CLAY COUNTY HOSPITAL,PU,PR,CLAY COUNTY HOSPITAL,PO BOX 1270,"ASHLAND, AL 36251",256-354-2131,JOEL W. TATE,PO BOX 1270,"ASHLAND, AL 36251",256-354-2131
POINT (-80.85894916655415 27.81002666696925),3567,APT,03260.*A,AIRPORT,FD09,7/16/2020,ASO,ORL,FL,FLORIDA,INDIAN RIVER,FL,KENANSVILLE,RLM FARMS,PR,PR,"RBCR, LLC",1908 CLIFF VALLEY WAY,"ATLANTA, GA 30329",404-486-4646,THORNE WINTER,1908 CLIFF VALLEY WAY,"ATLANTA, GA 30329",404-486-4646
POINT (-143.92051444389173 62.724611944058836),556,APT,50709.*A,AIRPORT,DDT,7/16/2020,AAL,NONE,AK,ALASKA,VALDEZ-CHITNA-WHITIE,AK,SLANA,DUFFYS TAVERN,PR,PR,GMAPA INC.,HCO1-BOX 450,"GAKONA, AK 99586",907-822-4653,D. M. MAC TURNEY,HCO1-BOX 450,"GAKONA, AK 99586",907-822-4653
POINT (-114.40643694419008 43.77212972204481),5029,APT,04225.31*H,HELIPORT,ID30,7/16/2020,ANM,HLN,ID,IDAHO,BLAINE,ID,KETCHUM,EVERETT II,PR,PR,FRANK E. EVERETT,10801 MAIN ST SUITE 200,"BELLEVUE, WA 98004-6366",425-455-0131,FRANK E. EVERETT,10801 MAIN ST SUITE 200,"BELLEVUE, WA 98004-6366",425-455-0131
POINT (-91.54813888904162 41.63977777823017),4729,APT,06070.*A,AIRPORT,IOW,7/16/2020,ACE,NONE,IA,IOWA,JOHNSON,IA,IOWA CITY,IOWA CITY MUNI,PU,PU,CITY OF IOWA CITY,410 EAST WASHINGTON,"IOWA CITY, IA 52240",319-356-5010,MICHAEL THARP,1801 S. RIVERSIDE,"IOWA CITY, IA 52246",319-356-5045
POINT (-149.61473888907128 61.61749999989428),667,APT,50870.13*A,AIRPORT,AK25,7/16/2020,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,WASILLA,PIPER LANDING,PR,PR,FRANK CURT SCOGGIN,7362 W PARKS HWY #710,"WASILLA, AK 99623",907-376-6722,FRANK CURT SCOGGIN,7362 W PARKS HWY #710,"WASILLA, AK 99623",907-250-9767
POINT (-116.4069444439374 43.52444444402459),4878,APT,00454.01*A,AIRPORT,77ID,7/16/2020,ANM,NONE,ID,IDAHO,ADA,ID,MERIDIAN,ASHLEY,PR,PR,TOBY ASHLEY,1286 W. WILDSHEEP LN.,"MERIDIAN, ID 83646",,TOBY ASHLEY,1286 W. WILDSHEEP LN.,"MERIDIAN, ID 83646",208 890 0344
POINT (-117.92738888896561 34.020511110724655),1819,APT,01402.03*H,HELIPORT,9CA3,7/16/2020,AWP,LAX,CA,CALIFORNIA,LOS ANGELES,CA,CITY OF INDUSTRY,RECREATION AND CONFERENCE CENTER,PR,PR,CIVIC RECREATION INDUS. AUTH.,"15625 E STAFFORD ST, STE 100","CITY OF INDUSTRY, CA 91744",818-333-2211,"MAJESTIC INDUSTRY HILLS, INC.",ONE INDUSTRY HILLS PARKWAY,"CITY OF INDUSTRY, CA 91744",818-965-0861
POINT (-93.69649999989258 34.11694444367235),1296,APT,01108.13*A,AIRPORT,02AR,7/16/2020,ASW,AOK,AR,ARKANSAS,PIKE,AR,MURFREESBORO,MOUNT MORIAH FIELD,PR,PR,MT MORIAH LLC,5105 HEARNE AVE,"SHREVEPORT, LA 71108",318-213-1674,PAUL GORDON,5105 HEARNE AVE,"SHREVEPORT, LA 71108",(318) 716-4357
POINT (-118.28581944425892 34.158369443969825),1957,APT,01611.17*H,HELIPORT,5CA0,7/16/2020,AWP,LAX,CA,CALIFORNIA,LOS ANGELES,CA,GLENDALE,DREAMWORKS HELISTOP GLENDALE,PR,PR,NBCUNIVERSAL-DREAMWORKS,1000 FLOWER STREET,"GLENDALE,, CA 91201-3007",818-695-6384,"STACY HIBBARD, FACILITIES DIRECTOR",1000 FLOWER STREET,"GLENDALE, CA 91201-3007",(818) 695-7280
POINT (-89.59319444356139 40.131399999922465),5583,APT,04864.9*H,HELIPORT,3IL4,7/16/2020,AGL,CHI,IL,ILLINOIS,LOGAN,IL,MIDDLETOWN,MAAKS,PR,PR,MICHAEL MAAKS,1469 50TH AVE,"NEW HOLLAND, IL 62671",217-445-2478,MICHAEL MAAKS,1469 50TH AVE,"NEW HOLLAND, IL 62671",217-445-2478
POINT (-120.83437944375491 38.84990083303716),1951,APT,01608.71*A,AIRPORT,29CN,7/16/2020,AWP,SFO,CA,CALIFORNIA,EL DORADO,CA,GEORGETOWN,MILLER'S MOTHER LODE,PR,PR,PETER MILLER,918 AMELIA COURT,"WINDSOR, CA 95492-7923",(707) 431-6089,PETER MILLER,918 AMELIA COURT,"WINDSOR, CA 95492-7923",707-431-6089
POINT (-111.72856194426228 42.60825333290868),4993,APT,04202.1*A,AIRPORT,ID62,7/16/2020,ANM,HLN,ID,IDAHO,CARIBOU,ID,GRACE,SIMPSON,PR,PR,DAVID SIMPSON,BOX 152,"BANCROFT, ID 83217",(208) 251-5414,DAVID SIMPSON,BOX 152,"BANCROFT, ID 83217",(208) 251-5414
POINT (-116.56776666718355 47.314497221825555),5132,APT,04320.02*H,HELIPORT,ID14,7/16/2020,ANM,HLN,ID,IDAHO,BENEWAH,ID,ST MARIES,BENEWAH COMMUNITY HOSPITAL,PU,PR,BENEWAH COUNTY,COURTHOUSE,"ST MARIES, ID 83861",208-245-3212,JACK A. BUELL,"701 W. COLLEGE AVE., STE 106","ST MARIES, ID 83861",208-245-5551
POINT (-149.98246944378624 61.47261944403663),89,APT,50068.681*A,AIRPORT,95AK,7/16/2020,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,BROWN'S HOMESTEAD,PR,PR,BILL & KAYLENE BROWN,4405 FAIRMONT RD,"ANCHORAGE, AK 99516",907-345-0403,BILL & KAYLENE BROWN,4405 FAIRMONT RD,"ANCHORAGE, AK 99516",907-345-0403
POINT (-112.05792555560046 33.465043332741004),1550,APT,00751.35*H,HELIPORT,AZ48,7/16/2020,AWP,PHX,AZ,ARIZONA,MARICOPA,AZ,PHOENIX,BANNER UNIV MED CENTER,PR,PR,SAMARITAN HEALTH SERVICE,1441 N. 12TH ST,"PHOENIX, AZ 85006",602-244-9327,DAVID J. SAMUELS,2630 SKY HARBOR BLVD,"PHOENIX, AZ 85034",602-244-9327
POINT (-120.94538888883895 39.943916667097355),2281,APT,02074.*A,AIRPORT,2O1,7/16/2020,AWP,SFO,CA,CALIFORNIA,PLUMAS,CA,QUINCY,GANSNER FIELD,PU,PU,COUNTY OF PLUMAS,198 ANDY'S WAY,"QUINCY, CA 95971-7007",530-283-6299,KEVIN CORREIRA,198 ANDY'S WAY,"QUINCY, CA 95971-7007",530-283-6070
POINT (-112.07098305604033 33.568652221909865),1555,APT,00751.45*H,HELIPORT,AZ98,7/16/2020,AWP,PHX,AZ,ARIZONA,MARICOPA,AZ,PHOENIX,JOHN C LINCOLN HELISTOP,PR,PR,JOHN C. LINCOLN HOSPITAL,250 E. DUNLAP,"PHOENIX, AZ 85020",602-943-2381,TOM PRUNEAU,250 E. DUNLAP,"PHOENIX, AZ 85020",602-943-2381
POINT (-115.90250000029295 43.31055555625901),4905,APT,04148.3*A,AIRPORT,1ID4,7/16/2020,ANM,HLN,ID,IDAHO,ELMORE,ID,BOISE,RED BARON AIRPARK,PR,PR,RED BARON ESTATES PILOTS & HOA,1950 PIPER ST,"OASIS, ID 83647",(208) 880-6307,GEORGE O. CARLOCK,1985 E AERONCA CT,"OASIS, ID 83647",(208) 880-6307
POINT (-92.0820138886171 35.05958055619655),1111,APT,00909.02*A,AIRPORT,3AR3,7/16/2020,ASW,AOK,AR,ARKANSAS,LONOKE,AR,CABOT,CYPRESS CREEK,PR,PR,JOHN D. FOWLKES,8491 HWY 319 WEST,"AUSTIN, AR 72007",(501) 605-3600,JOHN D. FOWLKES,8491 HWY 319 WEST,"AUSTIN, AR 72007",(501) 605-3600
POINT (-75.53297972243391 39.20011194400426),3173,APT,02967.4*H,HELIPORT,DE02,7/16/2020,AEA,HAR,DE,DELAWARE,KENT,DE,DOVER,DELAWARE STATE POLICE,PU,PR,DELAWARE STATE POLICE,PO BOX 430,"DOVER, DE 19903",302-739-5951,CPT. CHARLES CONDON,PO BOX 430,"DOVER, DE 19903",302-739-5951
POINT (-118.11589722160765 34.48674999991007),1687,APT,01213.01*H,HELIPORT,26CN,7/16/2020,AWP,LAX,CA,CALIFORNIA,LOS ANGELES,CA,ACTON,VINCENT SUBSTATION,PR,PR,SOUTHERN CALIFORNIA EDISON CO,33301 EAST ANGELES FOREST HWY,"PALMDALE, CA 93550",661-575-2910,ART BRADBURY,2161 EAST AVION ST,"ONTARIO, CA 91761",909-974-4691
