Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Unnamed_Column_11
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,302,Fort Greene and Brooklyn Heights (CD2),Winter 2020-21,12/01/2020,7.3,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,313,Coney Island (CD13),Summer 2021,06/01/2021,8,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208,Canarsie - Flatlands,Summer 2022,06/01/2022,8.6,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,410,South Ozone Park and Howard Beach (CD10),Annual Average 2020,01/01/2020,14.3,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409,Southeast Queens,Winter 2021-22,12/01/2021,18.6,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,103,Fordham - Bronx Pk,Summer 2021,06/01/2021,12.1,
386,Ozone (O3),Mean,ppb,UHF42,208,Canarsie - Flatlands,Summer 2021,06/01/2021,32.3,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,401,Long Island City - Astoria,Annual Average 2021,01/01/2021,19,
386,Ozone (O3),Mean,ppb,UHF42,201,Greenpoint,Summer 2021,06/01/2021,27.8,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,403,Jackson Heights (CD3),Summer 2021,06/01/2021,12.7,
386,Ozone (O3),Mean,ppb,UHF42,305,Upper East Side,Summer 2022,06/01/2022,30.8,
386,Ozone (O3),Mean,ppb,CD,108,Upper East Side (CD8),Summer 2022,06/01/2022,30.7,
386,Ozone (O3),Mean,ppb,CD,205,Fordham and University Heights (CD5),Summer 2020,06/01/2020,29.7,
825894,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,402,West Queens,Summer 2022,06/01/2022,12.8
827050,386,Ozone (O3),Mean,ppb,UHF34,105106107,South Bronx,Summer 2022,06/01/2022,32.1
386,Ozone (O3),Mean,ppb,CD,107,Upper West Side (CD7),Summer 2022,06/01/2022,29.9,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,401,Long Island City and Astoria (CD1),Summer 2021,06/01/2021,8.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,205,Fordham and University Heights (CD5),Summer 2021,06/01/2021,8.7,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,503,Willowbrook,Annual Average 2021,01/01/2021,13.3,
375,Nitrogen dioxide (NO2),Mean,ppb,Citywide,1,New York City,Summer 2020,06/01/2020,10.6,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,Financial District (CD1),Annual Average 2020,01/01/2020,21.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,309,Union Square - Lower East Side,Winter 2021-22,12/01/2021,8.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,202,Downtown - Heights - Slope,Annual Average 2021,01/01/2021,7.1,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,209,Parkchester and Soundview (CD9),Summer 2022,06/01/2022,12.4,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408,Jamaica,Winter 2020-21,12/01/2020,20.9,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,405,Ridgewood - Forest Hills,Winter 2020-21,12/01/2020,6.7,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,Summer 2022,06/01/2022,11.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,402,West Queens,Summer 2022,06/01/2022,6.9,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Annual Average 2021,01/01/2021,14.7,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Annual Average 2021,01/01/2021,16.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,303,East Harlem,Summer 2020,06/01/2020,7.3,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,306,Park Slope and Carroll Gardens (CD6),Annual Average 2022,01/01/2022,6.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,103,Fordham - Bronx Pk,Annual Average 2021,01/01/2021,6.6,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404,Bayside - Little Neck,Summer 2021,06/01/2021,10,
386,Ozone (O3),Mean,ppb,UHF42,202,Downtown - Heights - Slope,Summer 2020,06/01/2020,28.8,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,205,Sunset Park,Summer 2020,06/01/2020,7.3,
365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,2,Brooklyn,Winter 2021-22,12/01/2021,6.9,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,502,Stapleton - St. George,Annual Average 2021,01/01/2021,14.3,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,309,South Crown Heights and Lefferts Gardens (CD9),Summer 2020,06/01/2020,11.3,
375,Nitrogen dioxide (NO2),Mean,ppb,Borough,3,Manhattan,Annual Average 2022,01/01/2022,19.1,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2021,06/01/2021,10.2,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,314,Flatbush and Midwood (CD14),Winter 2021-22,12/01/2021,20.6,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,211,Morris Park and Bronxdale (CD11),Summer 2021,06/01/2021,8.6,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,411,Bayside and Little Neck (CD11),Winter 2021-22,12/01/2021,19.9,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,107,Upper West Side (CD7),Annual Average 2021,01/01/2021,19.2,
386,Ozone (O3),Mean,ppb,UHF42,310,Lower Manhattan,Summer 2021,06/01/2021,28,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,Winter 2020-21,12/01/2020,21.8,
823409,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301,Washington Heights,Summer 2022,06/01/2022,7.2
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,402,West Queens,Annual Average 2020,01/01/2020,17.8,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,306,Chelsea - Clinton,Summer 2022,06/01/2022,19.5,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,103,Fordham - Bronx Pk,Annual Average 2022,01/01/2022,15.3,
386,Ozone (O3),Mean,ppb,UHF42,409,Southeast Queens,Summer 2021,06/01/2021,31.5,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,409,Kew Gardens and Woodhaven (CD9),Summer 2021,06/01/2021,10.8,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Winter 2021-22,12/01/2021,6,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,Financial District (CD1),Annual Average 2022,01/01/2022,21,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408,Jamaica,Summer 2021,06/01/2021,10.8,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,303,Bedford Stuyvesant (CD3),Winter 2020-21,12/01/2020,23.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,205,Sunset Park,Annual Average 2022,01/01/2022,6.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,103,Fordham - Bronx Pk,Winter 2020-21,12/01/2020,6.4,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,412,Jamaica and Hollis (CD12),Summer 2020,06/01/2020,9.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,504,South Beach - Tottenville,Winter 2021-22,12/01/2021,5.8,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Annual Average 2022,01/01/2022,6.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,4,Queens,Summer 2022,06/01/2022,6.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,317,East Flatbush (CD17),Summer 2022,06/01/2022,6.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,Winter 2021-22,12/01/2021,6.7,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,Annual Average 2021,01/01/2021,18.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,210,Coney Island - Sheepshead Bay,Annual Average 2021,01/01/2021,6.3,
386,Ozone (O3),Mean,ppb,UHF42,304,Upper West Side,Summer 2022,06/01/2022,29.9,
365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,4,Queens,Winter 2020-21,12/01/2020,6.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,303,East Harlem,Annual Average 2022,01/01/2022,6.1,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,312,Borough Park (CD12),Summer 2020,06/01/2020,6.8,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,312,Borough Park (CD12),Annual Average 2022,01/01/2022,5.7,
386,Ozone (O3),Mean,ppb,UHF42,101,Kingsbridge - Riverdale,Summer 2020,06/01/2020,28.5,
386,Ozone (O3),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Summer 2020,06/01/2020,29.8,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,406,Rego Park and Forest Hills (CD6),Summer 2022,06/01/2022,6.4,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,101,Kingsbridge - Riverdale,Annual Average 2022,01/01/2022,14.5,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,104,Clinton and Chelsea (CD4),Winter 2021-22,12/01/2021,25.5,
386,Ozone (O3),Mean,ppb,CD,413,Queens Village (CD13),Summer 2022,06/01/2022,34.7,
386,Ozone (O3),Mean,ppb,CD,318,Flatlands and Canarsie (CD18),Summer 2022,06/01/2022,36.2,
375,Nitrogen dioxide (NO2),Mean,ppb,Borough,1,Bronx,Summer 2022,06/01/2022,12.2,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,410,Rockaways,Summer 2022,06/01/2022,7,
375,Nitrogen dioxide (NO2),Mean,ppb,Borough,2,Brooklyn,Summer 2021,06/01/2021,11.5,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,204,East New York,Summer 2020,06/01/2020,10.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,407,Southwest Queens,Summer 2022,06/01/2022,6.2,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Winter 2021-22,12/01/2021,22.5,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,101,Financial District (CD1),Summer 2021,06/01/2021,9.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409,Southeast Queens,Annual Average 2022,01/01/2022,5.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),Annual Average 2022,01/01/2022,6.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,304,Bushwick (CD4),Winter 2021-22,12/01/2021,7.3,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,110,Central Harlem (CD10),Winter 2021-22,12/01/2021,7.2,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,104,Pelham - Throgs Neck,Summer 2021,06/01/2021,12.3,
386,Ozone (O3),Mean,ppb,UHF34,304,Upper West Side,Summer 2021,06/01/2021,27.8,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412,Jamaica and Hollis (CD12),Winter 2020-21,12/01/2020,6.6,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,407,Flushing and Whitestone (CD7),Winter 2021-22,12/01/2021,7,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Winter 2021-22,12/01/2021,20.9,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,402,West Queens,Annual Average 2021,01/01/2021,7.1,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,104,Pelham - Throgs Neck,Winter 2021-22,12/01/2021,7.2,
386,Ozone (O3),Mean,ppb,Borough,1,Bronx,Summer 2021,06/01/2021,29.8,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,206,Belmont and East Tremont (CD6),Annual Average 2022,01/01/2022,16.6,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,408,Hillcrest and Fresh Meadows (CD8),Annual Average 2022,01/01/2022,5.5,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,503504,Southern SI,Summer 2021,06/01/2021,7.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,406,Rego Park and Forest Hills (CD6),Annual Average 2021,01/01/2021,6.4,
386,Ozone (O3),Mean,ppb,CD,401,Long Island City and Astoria (CD1),Summer 2020,06/01/2020,31.8,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,405,Ridgewood and Maspeth (CD5),Winter 2021-22,12/01/2021,21.8,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,105,Midtown (CD5),Summer 2020,06/01/2020,21.9,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Winter 2021-22,12/01/2021,18.8,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,209,Bensonhurst - Bay Ridge,Summer 2021,06/01/2021,8.3,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,403,Flushing - Clearview,Summer 2020,06/01/2020,11,
375,Nitrogen dioxide (NO2),Mean,ppb,Borough,1,Bronx,Summer 2021,06/01/2021,12.8,
386,Ozone (O3),Mean,ppb,UHF34,303,East Harlem,Summer 2020,06/01/2020,30.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,311,Bensonhurst (CD11),Summer 2021,06/01/2021,8.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,405,Ridgewood - Forest Hills,Summer 2021,06/01/2021,8.3,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,103,Fordham - Bronx Pk,Annual Average 2022,01/01/2022,15.3,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,210,Coney Island - Sheepshead Bay,Annual Average 2021,01/01/2021,6.3,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,502,Stapleton - St. George,Winter 2020-21,12/01/2020,20.1,
386,Ozone (O3),Mean,ppb,CD,202,Hunts Point and Longwood (CD2),Summer 2021,06/01/2021,29.1,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,401,Long Island City - Astoria,Annual Average 2022,01/01/2022,17.4,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,305,East New York and Starrett City (CD5),Summer 2021,06/01/2021,10.4,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,305307,Upper East Side-Gramercy,Annual Average 2022,01/01/2022,20.7,
386,Ozone (O3),Mean,ppb,UHF34,104,Pelham - Throgs Neck,Summer 2022,06/01/2022,33.3,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,205,Sunset Park,Summer 2021,06/01/2021,9,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301,Washington Heights,Winter 2020-21,12/01/2020,20.5,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Annual Average 2020,01/01/2020,14.8,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,106,Stuyvesant Town and Turtle Bay (CD6),Summer 2021,06/01/2021,18.6,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,407,Southwest Queens,Annual Average 2022,01/01/2022,14.3,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,107,Upper West Side (CD7),Winter 2021-22,12/01/2021,6.8,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,211,Williamsburg - Bushwick,Winter 2021-22,12/01/2021,23.4,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,301,Washington Heights,Summer 2021,06/01/2021,13.2,
386,Ozone (O3),Mean,ppb,CD,406,Rego Park and Forest Hills (CD6),Summer 2022,06/01/2022,33.9,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,101,Financial District (CD1),Summer 2022,06/01/2022,7.4,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,109,Morningside Heights and Hamilton Heights (CD9),Summer 2022,06/01/2022,13.3,
386,Ozone (O3),Mean,ppb,CD,301,Greenpoint and Williamsburg (CD1),Summer 2020,06/01/2020,29.6,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301,Washington Heights,Summer 2020,06/01/2020,14,
827134,386,Ozone (O3),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,Summer 2022,06/01/2022,33.7
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,101,Kingsbridge - Riverdale,Annual Average 2021,01/01/2021,14.8,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408,Jamaica,Winter 2020-21,12/01/2020,20.9,
823406,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,302,Central Harlem - Morningside Heights,Summer 2022,06/01/2022,7.1
375,Nitrogen dioxide (NO2),Mean,ppb,CD,311,Bensonhurst (CD11),Summer 2022,06/01/2022,9.4,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,204,East New York,Annual Average 2022,01/01/2022,15.6,
386,Ozone (O3),Mean,ppb,CD,106,Stuyvesant Town and Turtle Bay (CD6),Summer 2022,06/01/2022,29.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,317,East Flatbush (CD17),Winter 2021-22,12/01/2021,6.7,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201,Greenpoint,Summer 2021,06/01/2021,17.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201,Greenpoint,Annual Average 2021,01/01/2021,7.7,
386,Ozone (O3),Mean,ppb,UHF42,401,Long Island City - Astoria,Summer 2022,06/01/2022,32.9,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,310,Bay Ridge and Dyker Heights (CD10),Winter 2020-21,12/01/2020,22.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,502,South Beach and Willowbrook (CD2),Summer 2020,06/01/2020,6.6,
823415,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,210,Coney Island - Sheepshead Bay,Summer 2022,06/01/2022,5.8
375,Nitrogen dioxide (NO2),Mean,ppb,CD,108,Upper East Side (CD8),Winter 2020-21,12/01/2020,24.1,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,413,Queens Village (CD13),Winter 2020-21,12/01/2020,6.6,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,303,East Harlem,Annual Average 2022,01/01/2022,16.7,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,402,Woodside and Sunnyside (CD2),Winter 2020-21,12/01/2020,24.1,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,408,Jamaica,Annual Average 2021,01/01/2021,6.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211,Williamsburg - Bushwick,Winter 2020-21,12/01/2020,7.5,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409,Southeast Queens,Summer 2020,06/01/2020,6.6,
386,Ozone (O3),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Summer 2022,06/01/2022,35.8,
386,Ozone (O3),Mean,ppb,CD,109,Morningside Heights and Hamilton Heights (CD9),Summer 2020,06/01/2020,29.4,
386,Ozone (O3),Mean,ppb,CD,201,Mott Haven and Melrose (CD1),Summer 2022,06/01/2022,31.9,
386,Ozone (O3),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Summer 2022,06/01/2022,30.2,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,405,Ridgewood - Forest Hills,Annual Average 2021,01/01/2021,16,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,316,Brownsville (CD16),Summer 2021,06/01/2021,8.3,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,107,Hunts Point - Mott Haven,Annual Average 2022,01/01/2022,6.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,101,Kingsbridge - Riverdale,Annual Average 2021,01/01/2021,6.6,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Winter 2021-22,12/01/2021,24.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,206,Borough Park,Summer 2020,06/01/2020,6.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,310,Lower Manhattan,Winter 2020-21,12/01/2020,7.7,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,312,Borough Park (CD12),Summer 2022,06/01/2022,10.3,
386,Ozone (O3),Mean,ppb,Borough,1,Bronx,Summer 2022,06/01/2022,32.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412,Jamaica and Hollis (CD12),Annual Average 2022,01/01/2022,5.6,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,103,Fordham - Bronx Pk,Annual Average 2022,01/01/2022,6.1,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,102,Northeast Bronx,Annual Average 2020,01/01/2020,6,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,206,Belmont and East Tremont (CD6),Winter 2021-22,12/01/2021,7.5,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,102,Northeast Bronx,Summer 2022,06/01/2022,11.6,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,310,Bay Ridge and Dyker Heights (CD10),Summer 2020,06/01/2020,6.8,
386,Ozone (O3),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,Summer 2021,06/01/2021,30.3,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,303,East Harlem,Annual Average 2021,01/01/2021,18.3,
827057,386,Ozone (O3),Mean,ppb,UHF34,410,Rockaways,Summer 2022,06/01/2022,37.5
827067,386,Ozone (O3),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,Summer 2022,06/01/2022,30.9
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,403,Flushing - Clearview,Annual Average 2022,01/01/2022,5.9,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,112,Washington Heights and Inwood (CD12),Annual Average 2021,01/01/2021,16.9,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,303,Bedford Stuyvesant (CD3),Winter 2020-21,12/01/2020,7,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,205,Fordham and University Heights (CD5),Annual Average 2021,01/01/2021,6.8,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Winter 2020-21,12/01/2020,21.9,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,501,Port Richmond,Winter 2020-21,12/01/2020,6.6,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,108,Upper East Side (CD8),Annual Average 2021,01/01/2021,7,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,312,Borough Park (CD12),Summer 2022,06/01/2022,6.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,104,Clinton and Chelsea (CD4),Winter 2020-21,12/01/2020,8.2,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,201,Greenpoint,Annual Average 2020,01/01/2020,19.6,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404,Bayside - Little Neck,Summer 2020,06/01/2020,8.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,503504,Southern SI,Winter 2021-22,12/01/2021,5.9,
825694,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407,Southwest Queens,Summer 2022,06/01/2022,9.7
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,112,Washington Heights and Inwood (CD12),Summer 2021,06/01/2021,8.8,
386,Ozone (O3),Mean,ppb,UHF42,204,East New York,Summer 2021,06/01/2021,31.1,
826348,375,Nitrogen dioxide (NO2),Mean,ppb,CD,318,Flatlands and Canarsie (CD18),Summer 2022,06/01/2022,8.5
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,112,Washington Heights and Inwood (CD12),Summer 2022,06/01/2022,7.2,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,411,Bayside and Little Neck (CD11),Summer 2021,06/01/2021,10.2,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,208,Riverdale and Fieldston (CD8),Winter 2021-22,12/01/2021,7.2,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Summer 2021,06/01/2021,17.8,
386,Ozone (O3),Mean,ppb,CD,207,Kingsbridge Heights and Bedford (CD7),Summer 2021,06/01/2021,29.8,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,207,East Flatbush - Flatbush,Summer 2020,06/01/2020,10.7,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,106,Stuyvesant Town and Turtle Bay (CD6),Winter 2021-22,12/01/2021,25.4,
386,Ozone (O3),Mean,ppb,CD,407,Flushing and Whitestone (CD7),Summer 2021,06/01/2021,30.8,
386,Ozone (O3),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Summer 2021,06/01/2021,29.5,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,103,Lower East Side and Chinatown (CD3),Winter 2021-22,12/01/2021,22.6,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,501502,Northern SI,Summer 2020,06/01/2020,8.6,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,502,South Beach and Willowbrook (CD2),Winter 2020-21,12/01/2020,6.5,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,205,Sunset Park,Annual Average 2022,01/01/2022,17.3,
386,Ozone (O3),Mean,ppb,CD,314,Flatbush and Midwood (CD14),Summer 2021,06/01/2021,30.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,CD,206,Belmont and East Tremont (CD6),Summer 2020,06/01/2020,7.4,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,501,Port Richmond,Winter 2021-22,12/01/2021,6.5,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,406,Fresh Meadows,Winter 2020-21,12/01/2020,6.4,
386,Ozone (O3),Mean,ppb,CD,410,South Ozone Park and Howard Beach (CD10),Summer 2020,06/01/2020,29.8,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,501,St. George and Stapleton (CD1),Summer 2020,06/01/2020,9.2,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,205,Fordham and University Heights (CD5),Winter 2020-21,12/01/2020,21.3,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,303,East Harlem,Winter 2020-21,12/01/2020,22,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,209,Parkchester and Soundview (CD9),Summer 2021,06/01/2021,12.9,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,403,Flushing - Clearview,Winter 2021-22,12/01/2021,6.9,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,403,Flushing - Clearview,Summer 2020,06/01/2020,7.1,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,309,Union Square - Lower East Side,Summer 2021,06/01/2021,15.7,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,314,Flatbush and Midwood (CD14),Summer 2021,06/01/2021,10.5,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,408,Jamaica,Annual Average 2020,01/01/2020,6,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404,Bayside - Little Neck,Winter 2021-22,12/01/2021,19.8,
375,Nitrogen dioxide (NO2),Mean,ppb,CD,201,Mott Haven and Melrose (CD1),Annual Average 2021,01/01/2021,18.7,
365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209,Bensonhurst - Bay Ridge,Annual Average 2022,01/01/2022,5.6,
375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,306308,Chelsea-Village,Annual Average 2022,01/01/2022,22.1,
